Food type,Methane gas level,Humidity,temperature ,spoiled or not spoiled ,outcome
cooked rice,499,97,36.44,spolied ,1
cooked rice,500,97,36.46,spolied ,1
cooked rice,500,97,36.47,spolied ,1
cooked rice,501,97,36.47,spolied ,1
cooked rice,501,97,36.47,spolied ,1
cooked rice,502,97,36.48,spolied ,1
cooked rice,502,97,36.48,spolied ,1
cooked rice,502,97,36.49,spolied ,1
cooked rice,503,97,36.52,spolied ,1
cooked rice,503,97,36.53,spolied ,1
cooked rice,503,97,36.54,spolied ,1
cooked rice,504,97,36.54,spolied ,1
cooked rice,504,97,36.55,spolied ,1
cooked rice,505,97,36.56,spolied ,1
cooked rice,507,97,36.59,spolied ,1
cooked rice,507,97,36.59,spolied ,1
cooked rice,507,97,36.59,spolied ,1
cooked rice,508,97,36.61,spolied ,1
cooked rice,508,97,36.61,spolied ,1
cooked rice,508,97,36.61,spolied ,1
cooked rice,508,97,36.62,spolied ,1
cooked rice,508,97,36.62,spolied ,1
cooked rice,508,97,36.64,spolied ,1
cooked rice,508,97,36.65,spolied ,1
cooked rice,508,97,36.65,spolied ,1
cooked rice,509,97,36.67,spolied ,1
cooked rice,509,97,36.68,spolied ,1
cooked rice,510,97,36.68,spolied ,1
cooked rice,511,97,36.73,spolied ,1
cooked rice,511,97,36.78,spolied ,1
cooked rice,512,97,36.79,spolied ,1
cooked rice,512,97,36.8,spolied ,1
cooked rice,513,97,36.8,spolied ,1
cooked rice,513,97,36.81,spolied ,1
cooked rice,514,97,36.83,spolied ,1
cooked rice,514,97,36.84,spolied ,1
cooked rice,515,97,36.85,spolied ,1
cooked rice,516,97,36.86,spolied ,1
cooked rice,516,97,36.87,spolied ,1
cooked rice,516,97,36.89,spolied ,1
cooked rice,516,97,36.9,spolied ,1
cooked rice,518,97,36.91,spolied ,1
cooked rice,518,97,36.91,spolied ,1
cooked rice,518,97,36.92,spolied ,1
cooked rice,518,97,36.92,spolied ,1
cooked rice,519,97,36.93,spolied ,1
cooked rice,519,97,36.95,spolied ,1
cooked rice,519,97,36.95,spolied ,1
cooked rice,520,97,36.97,spolied ,1
cooked rice,520,97,36.99,spolied ,1
